Timestamp,Predicted_WindSpeed
2024-01-01,25.295719905730948
2024-01-02,25.308070777793546
2024-01-03,25.320421649856144
2024-01-04,25.33277252192056
2024-01-05,25.345123393983158
2024-01-06,25.357474266045756
2024-01-07,25.369825138108354
2024-01-08,25.38217601017277
2024-01-09,25.39452688223537
2024-01-10,25.406877754297966
2024-01-11,25.419228626360564
2024-01-12,25.43157949842316
2024-01-13,25.44393037048758
2024-01-14,25.456281242550176
2024-01-15,25.468632114612774
2024-01-16,25.48098298667537
2024-01-17,25.49333385873979
2024-01-18,25.505684730802386
2024-01-19,25.518035602864984
2024-01-20,25.53038647492758
2024-01-21,25.542737346992
2024-01-22,25.555088219054596
2024-01-23,25.567439091117194
2024-01-24,25.579789963179792
2024-01-25,25.59214083524239
2024-01-26,25.604491707306806
2024-01-27,25.616842579369404
2024-01-28,25.629193451432002
2024-01-29,25.6415443234946
2024-01-30,25.653895195559016
2024-01-31,25.666246067621614
2024-02-01,25.678596939684212
2024-02-02,25.69094781174681
2024-02-03,25.703298683811227
2024-02-04,25.715649555873824
2024-02-05,25.728000427936422
2024-02-06,25.74035129999902
2024-02-07,25.752702172061618
2024-02-08,25.765053044126034
2024-02-09,25.777403916188632
2024-02-10,25.78975478825123
2024-02-11,25.802105660313828
2024-02-12,25.814456532378244
2024-02-13,25.826807404440842
2024-02-14,25.83915827650344
2024-02-15,25.851509148566038
2024-02-16,25.863860020630455
2024-02-17,25.876210892693052
2024-02-18,25.88856176475565
2024-02-19,25.900912636818248
2024-02-20,25.913263508880846
2024-02-21,25.925614380945262
2024-02-22,25.93796525300786
2024-02-23,25.950316125070458
2024-02-24,25.962666997133056
2024-02-25,25.975017869197472
2024-02-26,25.98736874126007
2024-02-27,25.999719613322668
2024-02-28,26.012070485385266
2024-02-29,26.024421357449683
2024-03-01,26.03677222951228
2024-03-02,26.049123101574878
2024-03-03,26.061473973637476
2024-03-04,26.073824845700074
2024-03-05,26.08617571776449
2024-03-06,26.098526589827088
2024-03-07,26.110877461889686
2024-03-08,26.123228333952284
2024-03-09,26.1355792060167
2024-03-10,26.1479300780793
2024-03-11,26.160280950141896
2024-03-12,26.172631822204494
2024-03-13,26.18498269426891
2024-03-14,26.19733356633151
2024-03-15,26.209684438394106
2024-03-16,26.222035310456704
2024-03-17,26.2343861825193
2024-03-18,26.24673705458372
2024-03-19,26.259087926646316
2024-03-20,26.271438798708914
2024-03-21,26.28378967077151
2024-03-22,26.29614054283593
2024-03-23,26.308491414898526
2024-03-24,26.320842286961124
2024-03-25,26.333193159023722
2024-03-26,26.34554403108814
2024-03-27,26.357894903150736
2024-03-28,26.370245775213334
2024-03-29,26.382596647275932
2024-03-30,26.39494751933853
2024-03-31,26.407298391402946
2024-04-01,26.419649263465544
2024-04-02,26.432000135528142
2024-04-03,26.44435100759074
2024-04-04,26.456701879655157
2024-04-05,26.469052751717754
2024-04-06,26.481403623780352
2024-04-07,26.49375449584295
2024-04-08,26.506105367907367
2024-04-09,26.518456239969964
2024-04-10,26.530807112032562
2024-04-11,26.54315798409516
2024-04-12,26.555508856157758
2024-04-13,26.567859728222174
2024-04-14,26.580210600284772
2024-04-15,26.59256147234737
2024-04-16,26.604912344409968
2024-04-17,26.617263216474385
2024-04-18,26.629614088536982
2024-04-19,26.64196496059958
2024-04-20,26.654315832662178
2024-04-21,26.666666704726595
2024-04-22,26.679017576789192
2024-04-23,26.69136844885179
2024-04-24,26.703719320914388
2024-04-25,26.716070192976986
2024-04-26,26.728421065041402
2024-04-27,26.740771937104
2024-04-28,26.753122809166598
2024-04-29,26.765473681229196
2024-04-30,26.777824553293613
2024-05-01,26.79017542535621
2024-05-02,26.802526297418808
2024-05-03,26.814877169481406
2024-05-04,26.827228041545823
2024-05-05,26.83957891360842
2024-05-06,26.851929785671018
2024-05-07,26.864280657733616
2024-05-08,26.876631529796214
2024-05-09,26.88898240186063
2024-05-10,26.90133327392323
2024-05-11,26.913684145985826
2024-05-12,26.926035018048424
2024-05-13,26.93838589011284
2024-05-14,26.95073676217544
2024-05-15,26.963087634238036
2024-05-16,26.975438506300634
2024-05-17,26.98778937836505
2024-05-18,27.00014025042765
2024-05-19,27.012491122490246
2024-05-20,27.024841994552844
2024-05-21,27.03719286661544
2024-05-22,27.04954373867986
2024-05-23,27.061894610742456
2024-05-24,27.074245482805054
2024-05-25,27.086596354867652
2024-05-26,27.09894722693207
2024-05-27,27.111298098994666
2024-05-28,27.123648971057264
2024-05-29,27.135999843119862
2024-05-30,27.14835071518428
2024-05-31,27.160701587246876
2024-06-01,27.173052459309474
2024-06-02,27.185403331372072
2024-06-03,27.19775420343649
2024-06-04,27.210105075499087
2024-06-05,27.222455947561684
2024-06-06,27.234806819624282
2024-06-07,27.24715769168688
2024-06-08,27.259508563751297
2024-06-09,27.271859435813894
2024-06-10,27.284210307876492
2024-06-11,27.29656117993909
2024-06-12,27.308912052003507
2024-06-13,27.321262924066104
2024-06-14,27.333613796128702
2024-06-15,27.3459646681913
2024-06-16,27.358315540255717
2024-06-17,27.370666412318315
2024-06-18,27.383017284380912
2024-06-19,27.39536815644351
2024-06-20,27.407719028506108
2024-06-21,27.420069900570525
2024-06-22,27.432420772633122
2024-06-23,27.44477164469572
2024-06-24,27.457122516758318
2024-06-25,27.469473388822735
2024-06-26,27.481824260885332
2024-06-27,27.49417513294793
2024-06-28,27.506526005010528
2024-06-29,27.518876877074945
2024-06-30,27.531227749137543
2024-07-01,27.54357862120014
2024-07-02,27.555929493262738
2024-07-03,27.568280365325336
2024-07-04,27.580631237389753
2024-07-05,27.59298210945235
2024-07-06,27.605332981514948
2024-07-07,27.617683853577546
2024-07-08,27.630034725641963
2024-07-09,27.64238559770456
2024-07-10,27.65473646976716
2024-07-11,27.667087341829756
2024-07-12,27.679438213894173
2024-07-13,27.69178908595677
2024-07-14,27.70413995801937
2024-07-15,27.716490830081966
2024-07-16,27.728841702144564
2024-07-17,27.74119257420898
2024-07-18,27.75354344627158
2024-07-19,27.765894318334176
2024-07-20,27.778245190396774
2024-07-21,27.79059606246119
2024-07-22,27.80294693452379
2024-07-23,27.815297806586386
2024-07-24,27.827648678648984
2024-07-25,27.8399995507134
2024-07-26,27.852350422776
2024-07-27,27.864701294838596
2024-07-28,27.877052166901194
2024-07-29,27.889403038963792
2024-07-30,27.90175391102821
2024-07-31,27.914104783090806
2024-08-01,27.926455655153404
2024-08-02,27.938806527216002
2024-08-03,27.95115739928042
2024-08-04,27.963508271343017
2024-08-05,27.975859143405614
2024-08-06,27.988210015468212
2024-08-07,28.00056088753263
2024-08-08,28.012911759595227
2024-08-09,28.025262631657824
2024-08-10,28.037613503720422
2024-08-11,28.04996437578302
2024-08-12,28.062315247847437
2024-08-13,28.074666119910034
2024-08-14,28.087016991972632
2024-08-15,28.09936786403523
2024-08-16,28.111718736099647
2024-08-17,28.124069608162245
2024-08-18,28.136420480224842
2024-08-19,28.14877135228744
2024-08-20,28.161122224351857
2024-08-21,28.173473096414455
2024-08-22,28.185823968477052
2024-08-23,28.19817484053965
2024-08-24,28.210525712602248
2024-08-25,28.222876584666665
2024-08-26,28.235227456729262
2024-08-27,28.24757832879186
2024-08-28,28.259929200854458
2024-08-29,28.272280072918875
2024-08-30,28.284630944981473
2024-08-31,28.29698181704407
2024-09-01,28.309332689106668
2024-09-02,28.321683561171085
2024-09-03,28.334034433233683
2024-09-04,28.34638530529628
2024-09-05,28.358736177358878
2024-09-06,28.371087049421476
2024-09-07,28.383437921485893
2024-09-08,28.39578879354849
2024-09-09,28.40813966561109
2024-09-10,28.420490537673686
2024-09-11,28.432841409738103
2024-09-12,28.4451922818007
2024-09-13,28.4575431538633
2024-09-14,28.469894025925896
2024-09-15,28.482244897990313
2024-09-16,28.49459577005291
2024-09-17,28.50694664211551
2024-09-18,28.519297514178106
2024-09-19,28.531648386240704
2024-09-20,28.54399925830512
2024-09-21,28.55635013036772
2024-09-22,28.568701002430316
2024-09-23,28.581051874492914
2024-09-24,28.59340274655733
2024-09-25,28.60575361861993
2024-09-26,28.618104490682526
2024-09-27,28.630455362745124
2024-09-28,28.64280623480954
2024-09-29,28.65515710687214
2024-09-30,28.667507978934736
2024-10-01,28.679858850997334
2024-10-02,28.692209723059932
2024-10-03,28.70456059512435
2024-10-04,28.716911467186947
2024-10-05,28.729262339249544
2024-10-06,28.741613211312142
2024-10-07,28.75396408337656
2024-10-08,28.766314955439157
2024-10-09,28.778665827501754
2024-10-10,28.791016699564352
2024-10-11,28.80336757162877
2024-10-12,28.815718443691367
2024-10-13,28.828069315753964
2024-10-14,28.840420187816562
2024-10-15,28.85277105987916
2024-10-16,28.865121931943577
2024-10-17,28.877472804006175
2024-10-18,28.889823676068772
2024-10-19,28.90217454813137
2024-10-20,28.914525420195787
2024-10-21,28.926876292258385
2024-10-22,28.939227164320982
2024-10-23,28.95157803638358
2024-10-24,28.963928908447997
2024-10-25,28.976279780510595
2024-10-26,28.988630652573192
2024-10-27,29.00098152463579
2024-10-28,29.013332396698388
2024-10-29,29.025683268762805
2024-10-30,29.038034140825403
2024-10-31,29.050385012888
2024-11-01,29.062735884950598
2024-11-02,29.075086757015015
2024-11-03,29.087437629077613
2024-11-04,29.09978850114021
2024-11-05,29.112139373202808
2024-11-06,29.124490245267225
2024-11-07,29.136841117329823
2024-11-08,29.14919198939242
2024-11-09,29.16154286145502
2024-11-10,29.173893733517616
2024-11-11,29.186244605582033
2024-11-12,29.19859547764463
2024-11-13,29.21094634970723
2024-11-14,29.223297221769826
2024-11-15,29.235648093834243
2024-11-16,29.24799896589684
2024-11-17,29.26034983795944
2024-11-18,29.272700710022036
2024-11-19,29.285051582086453
2024-11-20,29.29740245414905
2024-11-21,29.30975332621165
2024-11-22,29.322104198274246
2024-11-23,29.334455070336844
2024-11-24,29.34680594240126
2024-11-25,29.35915681446386
2024-11-26,29.371507686526456
2024-11-27,29.383858558589054
2024-11-28,29.39620943065347
2024-11-29,29.40856030271607
2024-11-30,29.420911174778666
2024-12-01,29.433262046841264
2024-12-02,29.44561291890568
2024-12-03,29.45796379096828
2024-12-04,29.470314663030877
2024-12-05,29.482665535093474
2024-12-06,29.495016407156072
2024-12-07,29.50736727922049
2024-12-08,29.519718151283087
2024-12-09,29.532069023345684
2024-12-10,29.544419895408282
2024-12-11,29.5567707674727
2024-12-12,29.569121639535297
2024-12-13,29.581472511597894
2024-12-14,29.593823383660492
2024-12-15,29.60617425572491
2024-12-16,29.618525127787507
2024-12-17,29.630875999850105
2024-12-18,29.643226871912702
2024-12-19,29.6555777439753
2024-12-20,29.667928616039717
2024-12-21,29.680279488102315
2024-12-22,29.692630360164912
2024-12-23,29.70498123222751
2024-12-24,29.717332104291927
2024-12-25,29.729682976354525
2024-12-26,29.742033848417122
2024-12-27,29.75438472047972
2024-12-28,29.766735592544137
2024-12-29,29.779086464606735
2024-12-30,29.791437336669333
2024-12-31,29.80378820873193
